ilce_adi;mahalle_adi;mahalle_koy_uavt;cok_agir_hasarli_bina_sayisi;agir_hasarli_bina_sayisi;orta_hasarli_bina_sayisi;hafif_hasarli_bina_sayisi;can_kaybi_sayisi;agir_yarali_sayisi;hastanede_tedavi_sayisi;hafif_yarali_sayisi;dogalgaz_boru_hasari;icme_suyu_boru_hasari;atik_su_boru_hasari;gecici_barinma
ADALAR;BURGAZADA;40139;54;99;256;241;8;6;24;42;0;0;1;398
ADALAR;HEYBEL›ADA;40142;101;175;423;393;25;21;66;113;1;1;2;763
ADALAR;KINALIADA;40143;53;97;287;302;5;3;15;27;0;1;1;420
ADALAR;MADEN;40140;104;192;483;484;22;18;64;113;1;1;2;847
ADALAR;N›ZAM;40141;101;180;445;422;16;13;48;83;1;2;2;687
ATAﬁEH›R;AﬁIKVEYSEL;98687;5;18;102;266;4;3;12;26;0;0;0;465
ATAﬁEH›R;ATAT‹RK;99749;2;12;76;209;2;0;11;30;0;1;1;706
ATAﬁEH›R;BARBAROS;40527;14;50;248;498;11;9;42;88;1;1;2;1281
ATAﬁEH›R;ESATPAﬁA;40793;5;20;140;422;3;1;14;33;0;0;1;598
ATAﬁEH›R;›«ERENK÷Y;40530;23;76;465;1180;19;8;61;133;1;1;3;2792
ATAﬁEH›R;›N÷N‹;40534;4;17;115;392;2;0;14;36;0;0;1;775
ATAﬁEH›R;KAYIﬁDA–I;40533;10;52;352;785;7;2;31;76;1;1;2;1930
ATAﬁEH›R;K‹«‹KBAKKALK÷Y;40531;13;41;200;501;11;6;35;71;1;1;2;1284
ATAﬁEH›R;MEVLANA;99516;1;8;64;188;2;0;7;20;0;0;0;470
ATAﬁEH›R;M›MAR S›NAN;99519;2;13;81;203;1;0;7;18;0;0;0;370
ATAﬁEH›R;MUSTAFA KEMAL;40740;8;28;145;345;6;4;18;40;0;0;1;643
ATAﬁEH›R;÷RNEK;40816;9;31;181;463;7;4;25;54;0;0;1;966
ATAﬁEH›R;YEN› «AMLICA;40746;5;24;152;319;3;1;11;28;0;0;1;630
ATAﬁEH›R;YEN›SAHRA;40526;17;51;205;397;10;9;32;64;0;0;1;671
AVCILAR;AMBARLI;40146;26;105;388;634;67;35;191;364;2;2;7;3699
AVCILAR;C›HANG›R;40148;37;169;688;1171;87;46;252;496;3;4;9;5464
AVCILAR;DEN›ZK÷ﬁKLER;40147;33;138;516;843;74;39;212;409;2;3;7;4086
